"id","date","dive_number","boat","dive_guide","dive_site","max_depth","water_temperature","sightings"
386,"2024-01-19",1,"Fin & Tonic","Vicky","Tent Deep",25,27,"[{""species"" : ""Green Turtle"", ""count"" : 3}, {""species"" : ""Lionfish Alive"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}]"
387,"2024-01-19",2,"Shark Bait","Chad","Ladder Labyrinth",18,27,"[{""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Nassau Grouper"", ""count"" : 1}]"
388,"2024-01-19",3,"Shark Bait","Chad","Hot Springs",18,27,"[{""species"" : ""Green Turtle"", ""count"" : 8}, {""species"" : ""Nurse Shark"", ""count"" : 2}]"
389,"2024-01-19",1,"Fin & Tonic","Aaron","Tent Deep",34,27,"[{""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}]"
390,"2024-01-19",2,"Fin & Tonic","Aaron","50 50",24,27,"[{""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 2}]"
398,"2024-01-19",2,"Fin & Tonic","Svenja","50 50",22,27,"[{""species"" : ""Green Turtle"", ""count"" : 3}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 1}]"
395,"2024-01-19",1,"Shark Bait","Lenny","Ladder Labyrinth",22,27,"[{""species"" : ""Flamingo Tongue"", ""count"" : 3}, {""species"" : ""Lettuce Sea Slug"", ""count"" : 6}, {""species"" : ""Tiger Grouper"", ""count"" : 2}, {""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 3}]"
391,"2024-01-20",1,"Shark Bait","Richard","Third Encounter",34,27,"[{""species"" : ""Lionfish Dead"", ""count"" : 3}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}]"
392,"2024-01-20",2,"Shark Bait","Richard","Diamond Rock",26,27,"[{""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Nassau Grouper"", ""count"" : 3}, {""species"" : ""Lionfish Dead"", ""count"" : 1}]"
396,"2024-01-21",2,"Shark Bait","Richard","Man of War Shoals",22,27,"[{""species"" : ""Nassau Grouper"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 1}]"
